Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
376.99646,89.11491394,376.99646,-0.01755838096,376.99646,0.08870542794,
375.9883728,88.99121094,375.9883728,0.01296411455,375.9883728,0.09605757892,
375.0188904,88.95349121,375.0188904,0.01266865153,375.0188904,0.1053826362,
374.0104675,88.85417938,374.0104675,0.01043441985,374.0104675,0.1146325395,
373.0019226,88.73896027,373.0019226,0.01152870711,373.0019226,0.125195846,
371.9931946,88.67744446,371.9931946,0.01555270422,371.9931946,0.1362943947,
370.9843445,88.60454559,370.9843445,0.0244140625,370.9843445,0.1489279717,
370.0140991,88.5030899,370.0140991,0.003750515636,370.0140991,0.157494545,
369.0049438,88.36205292,369.0049438,-0.004008498043,369.0049438,0.1688295454,
367.995636,88.35262299,367.995636,0.02468729578,367.995636,0.1824296266,
366.9862061,88.18870544,366.9862061,0.0122159794,366.9862061,0.1961787343,
366.0154419,88.09598541,366.0154419,0.00738361571,366.0154419,0.208042413,
